year,Category,Median_Price
1988,Baked Beans,0.23
1989,Baked Beans,0.25999999
1990,Baked Beans,0.28
1991,Baked Beans,0.28
1992,Baked Beans,0.27000001
1993,Baked Beans,0.28
1994,Baked Beans,0.28999999
1995,Baked Beans,0.31
1996,Baked Beans,0.33000001
1997,Baked Beans,0.34999999
1998,Baked Beans,0.38
1999,Baked Beans,0.40000001
2000,Baked Beans,0.33000001
2001,Baked Beans,0.33000001
2002,Baked Beans,0.36000001
2003,Baked Beans,0.34999999
2004,Baked Beans,0.38
2005,Baked Beans,0.41
2006,Baked Beans,0.44
2007,Baked Beans,0.47999999
2008,Baked Beans,0.51999998
2009,Baked Beans,0.63999999
2010,Baked Beans,0.63999999
2011,Baked Beans,0.63999999
2012,Baked Beans,0.68000001
2013,Baked Beans,0.68000001
2014,Baked Beans,0.68000001
2015,Baked Beans,0.68000001
2016,Baked Beans,0.5
2017,Baked Beans,0.73000002
2018,Baked Beans,0.60000002
2019,Baked Beans,0.75
2020,Baked Beans,0.85000002
2021,Baked Beans,0.85000002
2022,Baked Beans,1.0
2023,Baked Beans,1.3
2024,Baked Beans,1.4
1988,Sandwich,0.55000001
1989,Sandwich,0.62
1990,Sandwich,0.69999999
1991,Sandwich,0.80000001
1992,Sandwich,0.89999998
1993,Sandwich,0.99000001
1994,Sandwich,1.0
1995,Sandwich,1.1
1996,Sandwich,1.29
1997,Sandwich,1.39
1998,Sandwich,1.49
1999,Sandwich,1.59
2000,Sandwich,1.6900001
2001,Sandwich,1.85
2002,Sandwich,1.95
2003,Sandwich,2.05
2004,Sandwich,2.0
2005,Sandwich,1.9
2006,Sandwich,1.95
2007,Sandwich,2.0999999
2008,Sandwich,2.3499999
2009,Sandwich,2.4000001
2010,Sandwich,2.45
2011,Sandwich,2.5
2012,Sandwich,2.55
2013,Sandwich,2.8
2014,Sandwich,2.79
2015,Sandwich,2.8
2016,Sandwich,2.1500001
2017,Sandwich,2.0999999
2018,Sandwich,2.2
2019,Sandwich,2.3
2020,Sandwich,2.5
2021,Sandwich,2.6500001
2022,Sandwich,2.8499999
2023,Sandwich,3.1500001
2024,Sandwich,3.3499999
1988,Chocolate,0.19
1989,Chocolate,0.19
1990,Chocolate,0.2
1991,Chocolate,0.22
1992,Chocolate,0.23
1993,Chocolate,0.23999999
1994,Chocolate,0.25
1995,Chocolate,0.25999999
1996,Chocolate,0.27000001
1997,Chocolate,0.28
1998,Chocolate,0.28999999
1999,Chocolate,0.30000001
2000,Chocolate,0.30000001
2001,Chocolate,0.31999999
2002,Chocolate,0.34
2003,Chocolate,0.36000001
2004,Chocolate,0.38
2005,Chocolate,0.40000001
2006,Chocolate,0.41
2007,Chocolate,0.44999999
2008,Chocolate,0.47
2009,Chocolate,0.5
2010,Chocolate,0.54000002
2011,Chocolate,0.58999997
2012,Chocolate,0.64999998
2013,Chocolate,0.69
2014,Chocolate,0.69999999
2015,Chocolate,0.69
2016,Chocolate,0.75
2017,Chocolate,0.75
2018,Chocolate,0.75
2019,Chocolate,0.75
2020,Chocolate,0.79000002
2021,Chocolate,0.75
2022,Chocolate,0.81
2023,Chocolate,0.89999998
2024,Chocolate,1.0
