date,name,id,alpha_id,value
2021,Alabama,1,AL,15.9
2021,Alaska,2,AK,6.4
2021,Arizona,4,AZ,8.1
2021,Arkansas,5,AR,11.7
2021,California,6,CA,6.4
2021,Colorado,8,CO,6.3
2021,Connecticut,9,CT,4.8
2021,Delaware,10,DE,11.3
2021,Florida,12,FL,7.4
2021,Georgia,13,GA,11.4
2021,Hawaii,15,HI,2.7
2021,Idaho,16,ID,2.2
2021,Illinois,17,IL,12.3
2021,Indiana,18,IN,9.6
2021,Iowa,19,IA,3.2
2021,Kansas,20,KS,6.4
2021,Kentucky,21,KY,9.6
2021,Louisiana,22,LA,21.3
2021,Maine,23,ME,1.7
2021,Maryland,24,MD,12.2
2021,Massachusetts,25,MA,2.3
2021,Michigan,26,MI,8.7
2021,Minnesota,27,MN,4.3
2021,Mississippi,28,MS,23.7
2021,Missouri,29,MO,12.4
2021,Montana,30,MT,4.4
2021,Nebraska,31,NE,3.6
2021,Nevada,32,NV,8.5
2021,New Hampshire,33,NH,0.0
2021,New Jersey,34,NJ,4.8
2021,New Mexico,35,NM,15.3
2021,New York,36,NY,4.8
2021,North Carolina,37,NC,9.7
2021,North Dakota,38,ND,3.4
2021,Ohio,39,OH,9.3
2021,Oklahoma,40,OK,8.9
2021,Oregon,41,OR,4.9
2021,Pennsylvania,42,PA,9.2
2021,Rhode Island,44,RI,3.6
2021,South Carolina,45,SC,13.4
2021,South Dakota,46,SD,5.3
2021,Tennessee,47,TN,12.2
2021,Texas,48,TX,8.2
2021,Utah,49,UT,2.7
2021,Vermont,50,VT,0.0
2021,Virginia,51,VA,7.2
2021,Washington,53,WA,4.5
2021,West Virginia,54,WV,6.9
2021,Wisconsin,55,WI,6.4
2021,Wyoming,56,WY,0.0
